query,expected,retrieved_title,rank,llm_score,llm_reason
Scientists and children visit a theme park with cloned dinosaurs,Jurassic Park,The Lost World: Jurassic Park,2,1,"Partial match: The Lost World involves scientists and dinosaurs but is set on an island, not a theme park, and lacks the children element."
Scientists and children visit a theme park with cloned dinosaurs,Jurassic Park,Jurassic World,3,2,"Highly relevant: Jurassic World centers on a dinosaur theme park with scientists, though it does not focus on children visiting the park."
Scientists go behind enemy lines in WWII to find a man whose brothers were killed,Saving Private Ryan,Overlord,1,0,"Overlord is about paratroopers and a mysterious threat, not about scientists or a man whose brothers were killed; it does not match the expected movie."
Scientists go behind enemy lines in WWII to find a man whose brothers were killed,Saving Private Ryan,Saving Private Ryan,2,3,"Saving Private Ryan directly matches the expected movie, featuring a mission to retrieve a soldier whose brothers were killed behind enemy lines."
Scientists go behind enemy lines in WWII to find a man whose brothers were killed,Saving Private Ryan,Haywire,3,0,"Haywire involves a tank crew searching for treasure, unrelated to scientists or the brothers' storyline; irrelevant to the query."
Insurance salesman discovers his whole life is a reality TV show,The Truman Show,The Truman Show,1,3,"Exact match to The Truman Show, the requested movie."
Insurance salesman discovers his whole life is a reality TV show,The Truman Show,Thin Ice,2,1,Features an insurance salesman but unrelated plot; only a slight connection.
Insurance salesman discovers his whole life is a reality TV show,The Truman Show,Thin Ice,3,1,Duplicate of rank 2; same slight connection via insurance salesman only.
Couple undergoes a procedure to erase each other from their memories,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,1,3,"Exact match: title, plot and keywords correspond to the expected movie."
Couple undergoes a procedure to erase each other from their memories,Eternal Sunshine of the Spotless Mind,Little Fish,2,1,Shares a memory‑loss theme but is a different film with unrelated plot and cast.
Couple undergoes a procedure to erase each other from their memories,Eternal Sunshine of the Spotless Mind,Love Reset,3,1,"Involves amnesia, but the premise differs from the requested procedure‑based memory erasure."
Jazz pianist and aspiring actress fall in love in Los Angeles,La La Land,La La Land,1,3,Exact match: La La Land features a jazz pianist and an aspiring actress falling in love in Los Angeles.
Jazz pianist and aspiring actress fall in love in Los Angeles,La La Land,Undiscovered,2,1,"Partial relevance: Undiscovered is about aspiring entertainers in Los Angeles and includes music, but lacks the specific jazz pianist‑actress romance."
Jazz pianist and aspiring actress fall in love in Los Angeles,La La Land,Some Girl,3,1,"Partial relevance: Some Girl involves an aspiring actress in Los Angeles, but has no jazz pianist element or the specific love‑story focus."
Shy waitress in Paris decides to change the lives of those around her,Amélie,Avenue Montaigne,1,1,"Features a Parisian waitress but the plot and tone differ from Amélie; lacks the shy, life‑changing protagonist element."
Shy waitress in Paris decides to change the lives of those around her,Amélie,What We Know,2,0,"While about a waitress, it is set at a beach, unrelated to Paris or the shy, transformative theme of Amélie."
Shy waitress in Paris decides to change the lives of those around her,Amélie,Amélie,3,3,"Exact match to the expected movie Amélie, featuring a shy Parisian waitress who changes the lives of those around her."
Italian-American bouncer drives a Black pianist through the 1960s South,Green Book,Green Book,1,3,Exact match: Green Book is the requested film about an Italian‑American bouncer driving a Black pianist in the 1960s South.
Italian-American bouncer drives a Black pianist through the 1960s South,Green Book,A Bronx Tale,2,1,Partial relevance: shares Italian‑American characters and a 1960s setting but the plot is unrelated to a bouncer driving a pianist.
Italian-American bouncer drives a Black pianist through the 1960s South,Green Book,The Wanderers,3,1,"Partial relevance: also set in the 1960s with Italian‑American themes, yet no connection to the bouncer‑pianist storyline."
Man is kidnapped and imprisoned for 15 years without knowing why,Oldboy,Oldboy,1,2,"Correct title Oldboy but describes the Spike Lee remake with a 20‑year imprisonment, not the 15‑year original; still relevant but not an exact match."
Man is kidnapped and imprisoned for 15 years without knowing why,Oldboy,Oldboy,2,3,"Accurate description of the original Oldboy (Park Chan‑wook) with a man imprisoned for 15 years, perfectly matching the query."
Man is kidnapped and imprisoned for 15 years without knowing why,Oldboy,Zinda,3,1,Zinda is an Indian remake of Oldboy with a 14‑year imprisonment; related concept but not the requested movie.
Teenager travels back to the 1950s in a DeLorean time machine,Back to the Future,Back to the Future,1,3,Exact match: Back to the Future features a teenager using a DeLorean to travel to 1955.
Teenager travels back to the 1950s in a DeLorean time machine,Back to the Future,Back to the Future Part III,2,2,"Same franchise and DeLorean time machine, but the plot is set in 1885, not the requested 1950s."
Teenager travels back to the 1950s in a DeLorean time machine,Back to the Future,Back to the 90s,3,0,"Unrelated Thai comedy; no DeLorean, no 1950s setting, and not the expected movie."
Superheroes use time travel to undo a galactic genocide,Avengers: Endgame,Avengers: Endgame,1,3,"Exact match to the expected movie Avengers: Endgame, which features superheroes using time travel to reverse Thanos' genocide."
Superheroes use time travel to undo a galactic genocide,Avengers: Endgame,Waxwork II: Lost in Time,2,0,"Waxwork II: Lost in Time is a horror/comedy fantasy with no superhero elements, unrelated to the query."
Superheroes use time travel to undo a galactic genocide,Avengers: Endgame,Waxwork II: Lost in Time,3,0,"Duplicate of Waxwork II: Lost in Time, also unrelated to the superhero time‑travel premise."
The Bride seeks revenge on her former colleagues who tried to kill her,Kill Bill: Vol. 1,Kill Bill: Vol. 2,1,2,"Kill Bill: Vol. 2 features The Bride’s revenge against former colleagues, matching the plot theme but is the sequel, not the requested Vol. 1."
The Bride seeks revenge on her former colleagues who tried to kill her,Kill Bill: Vol. 1,Kill Bill: The Whole Bloody Affair,2,2,"Kill Bill: The Whole Bloody Affair includes both Vol. 1 and Vol. 2, so it contains the requested movie but is a combined edition rather than the exact Vol. 1."
The Bride seeks revenge on her former colleagues who tried to kill her,Kill Bill: Vol. 1,She Killed in Ecstasy,3,0,She Killed in Ecstasy is unrelated to The Bride or Kill Bill; it features a different storyline and genre.
Professional hitman protects a 12-year-old girl after her family is murdered,Léon: The Professional,The Killer,1,2,"Plot is similar (hitman protects a teenage girl after her family is killed) but it is a different movie, not Léon: The Professional."
Professional hitman protects a 12-year-old girl after her family is murdered,Léon: The Professional,Léon: The Professional,2,3,Exact match to the expected movie Léon: The Professional.
Professional hitman protects a 12-year-old girl after her family is murdered,Léon: The Professional,"Alice, Sweet Alice",3,0,Unrelated horror film with no connection to a professional hitman protecting a girl.
Veteran pilot trains a new group of graduates for a dangerous mission,Top Gun: Maverick,Top Gun: Maverick,1,3,Exact match: Top Gun: Maverick directly matches the query description and expected movie.
Veteran pilot trains a new group of graduates for a dangerous mission,Top Gun: Maverick,Sky Hunter,2,1,Only loosely related by featuring pilots on a dangerous mission; does not involve a veteran pilot training new graduates and is not the expected film.
Veteran pilot trains a new group of graduates for a dangerous mission,Top Gun: Maverick,Unicorn Wars,3,0,Unrelated content about animated bear cubs and unicorns; no connection to the query.
Troubled teenager is visited by a giant rabbit who tells him the world is ending,Donnie Darko,Donnie Darko,1,3,Exact match: Donnie Darko features a troubled teen visited by a giant rabbit and an apocalyptic theme.
Troubled teenager is visited by a giant rabbit who tells him the world is ending,Donnie Darko,"To Die, to Sleep",2,0,Irrelevant: No giant rabbit or similar plot; unrelated drama about a teen's secret life.
Troubled teenager is visited by a giant rabbit who tells him the world is ending,Donnie Darko,Rabbit Horror,3,0,Irrelevant: Involves a rabbit but unrelated storyline; no troubled teen or world‑ending premise.
Ballerina descends into madness while preparing for the lead role in Swan Lake,Black Swan,Black Swan,1,3,Exact match: Black Swan is the expected movie and its description aligns perfectly with the query about a ballerina descending into madness while preparing for Swan Lake.
Ballerina descends into madness while preparing for the lead role in Swan Lake,Black Swan,Swan Lake,2,1,"Partial relevance: The result is about Swan Lake itself, sharing the ballet theme, but it does not involve the psychological descent into madness described in the query."
Ballerina descends into madness while preparing for the lead role in Swan Lake,Black Swan,Barbie of Swan Lake,3,0,"Irrelevant: An animated Barbie adaptation of Swan Lake with no connection to the dark, psychological storyline requested."
Free Black man from New York is kidnapped and sold into slavery,12 Years a Slave,12 Years a Slave,1,3,Exact match to the expected movie '12 Years a Slave' with identical plot description.
Free Black man from New York is kidnapped and sold into slavery,12 Years a Slave,Solomon Northup's Odyssey,2,2,"Highly relevant: a TV movie about Solomon Northup's kidnapping and slavery, same story but different title/production."
Free Black man from New York is kidnapped and sold into slavery,12 Years a Slave,'R Xmas,3,0,"Irrelevant: unrelated crime thriller about a New York drug dealer, no connection to the requested plot."
True story of the Boston Globe's investigation into the Catholic Church,Spotlight,Spotlight,1,3,Exact match: the film Spotlight is the true story of the Boston Globe's investigation into the Catholic Church.
True story of the Boston Globe's investigation into the Catholic Church,Spotlight,The Boston Strangler,2,0,"Irrelevant: The Boston Strangler is about a serial killer, unrelated to the Boston Globe investigation."
True story of the Boston Globe's investigation into the Catholic Church,Spotlight,The Catholics,3,0,"Irrelevant: The Catholics is a sci‑fi drama about future church reforms, not the Boston Globe investigation."
German boy discovers his mother is hiding a Jewish girl in their attic during WWII,Jojo Rabbit,Jojo Rabbit,1,3,Exact match: Jojo Rabbit is the expected film with a German boy whose mother hides a Jewish girl in their attic.
German boy discovers his mother is hiding a Jewish girl in their attic during WWII,Jojo Rabbit,"Romeo, Juliet and Darkness",2,2,"Highly relevant: Romeo, Juliet and Darkness shares the core premise of a young person hiding a Jewish girl in an attic during WWII, though it differs in setting and characters."
German boy discovers his mother is hiding a Jewish girl in their attic during WWII,Jojo Rabbit,The Diary of Anne Frank,3,1,"Partial relevance: The Diary of Anne Frank involves a Jewish girl in hiding during WWII, but lacks the German boy and mother storyline."
Hollywood stunt driver moonlights as a getaway driver Ryan Gosling,Drive,Drive,1,3,Exact match: the movie Drive starring Ryan Gosling about a Hollywood stunt driver who moonlights as a getaway driver.
Hollywood stunt driver moonlights as a getaway driver Ryan Gosling,Drive,Hit & Run,2,1,"Only loosely related: about a former getaway driver, but no stunt driver element and no Ryan Gosling."
Hollywood stunt driver moonlights as a getaway driver Ryan Gosling,Drive,Wheelman,3,1,"Some relevance: features a getaway driver, but lacks the stunt driver aspect and Ryan Gosling connection."
Wealthy investment banker hides his bloodlust from his shallow associates,American Psycho,American Psycho,1,3,"Exact match: title, plot, and themes align perfectly with the query and expected movie American Psycho."
Wealthy investment banker hides his bloodlust from his shallow associates,American Psycho,Shallow Grave,2,0,Irrelevant: unrelated plot about roommates and a corpse; no connection to a wealthy investment banker or bloodlust.
Wealthy investment banker hides his bloodlust from his shallow associates,American Psycho,Demolition,3,1,Partial relevance: features an investment banker protagonist but lacks the bloodlust and shallow associate elements; different tone and storyline.
Ogre goes on a quest to rescue a princess to get his swamp back,Shrek,Shrek the Musical,1,2,"Shrek the Musical shares the same plot (ogre rescuing a princess to regain his swamp) and characters, but it is a stage adaptation rather than the exact film requested."
Ogre goes on a quest to rescue a princess to get his swamp back,Shrek,Shrek,2,3,Shrek is the exact movie that matches the query description of an ogre rescuing a princess to get his swamp back.
Ogre goes on a quest to rescue a princess to get his swamp back,Shrek,The Magic Sword,3,0,The Magic Sword is unrelated to an ogre or swamp rescue storyline; it does not match the query.
A rat who can cook makes an alliance with a kitchen worker in Paris,Ratatouille,Ratatouille,1,3,"Exact match: the title, plot, and characters correspond to the expected movie Ratatouille."
A rat who can cook makes an alliance with a kitchen worker in Paris,Ratatouille,Recipe for Love,2,0,"Irrelevant: a human‑centric romance about a chef, no rat or Paris restaurant alliance."
A rat who can cook makes an alliance with a kitchen worker in Paris,Ratatouille,Brooklyn,3,0,"Irrelevant: unrelated drama about music and cooking, no rat or culinary alliance."
Young girl enters a world of spirits and works in a bathhouse to save parents,Spirited Away,Spirited Away,1,3,Exact match: Spirited Away perfectly fits the query description.
Young girl enters a world of spirits and works in a bathhouse to save parents,Spirited Away,Stephanie,2,0,Irrelevant: unrelated horror film with no spirits or bathhouse element.
Young girl enters a world of spirits and works in a bathhouse to save parents,Spirited Away,Deep End,3,0,"Irrelevant: focuses on a teenage boy in a bathhouse, no young girl or spirit world."
Iconic doll enters the real world to find her true purpose,Barbie,Barbie,1,3,"Result is the exact movie 'Barbie', matching the iconic doll entering the real world storyline."
Iconic doll enters the real world to find her true purpose,Barbie,Fifteen and Pregnant,2,0,"Result is unrelated drama about teenage pregnancy, no connection to dolls or the expected movie."
Iconic doll enters the real world to find her true purpose,Barbie,Dolls Can't Cry,3,1,Result involves a doll-like existence but does not feature an iconic doll entering the real world; only a tangential doll theme.
A group of professional bank robbers pursued by an obsessive detective Al Pacino,Heat,Marauders,1,1,"Features a bank‑robber crew and a chase, but the pursuer is an FBI agent and Al Pacino is not involved, so it only loosely matches the query."
A group of professional bank robbers pursued by an obsessive detective Al Pacino,Heat,Heat,2,3,Exact match: the film Heat stars Al Pacino as the obsessive detective pursuing a professional crew of bank robbers.
A group of professional bank robbers pursued by an obsessive detective Al Pacino,Heat,Takers,3,2,"Shares the bank‑heist and cat‑and‑mouse theme and similar genre, but lacks Al Pacino and is a different movie."
Jewish-American soldiers plot to assassinate Nazi leaders in occupied France,Inglourious Basterds,Inglourious Basterds,1,3,"Exact match: the title, plot, and characters correspond to the expected movie Inglourious Basterds."
Jewish-American soldiers plot to assassinate Nazi leaders in occupied France,Inglourious Basterds,Persian Lessons,2,0,"Irrelevant: the film Persian Lessons is about a Persian language ruse in a concentration camp, unrelated to Jewish‑American soldiers or a French setting."
Jewish-American soldiers plot to assassinate Nazi leaders in occupied France,Inglourious Basterds,Anthropoid,3,1,"Partial relevance: Anthropoid involves WWII Nazi assassinations, but it features Czech operatives in Prague, not Jewish‑American soldiers in occupied France."
Scottish warrior leads a rebellion against the English king Mel Gibson,Braveheart,Outlaw King,1,0,"Outlaw King features Robert the Bruce, not William Wallace, and has no connection to Mel Gibson or the Braveheart storyline."
Scottish warrior leads a rebellion against the English king Mel Gibson,Braveheart,Robert the Bruce,2,0,"Robert the Bruce also focuses on a different Scottish king, lacking any relation to Mel Gibson or the Braveheart plot."
Scottish warrior leads a rebellion against the English king Mel Gibson,Braveheart,The Master of Ballantrae,3,0,"The Master of Ballantrae is an 18th‑century adventure about Bonnie Prince Charlie, unrelated to the Braveheart narrative or Mel Gibson."
The crew of a spacecraft encounters a deadly extraterrestrial life form,Alien,Inseminoid,1,2,"Highly relevant: crew encounters a deadly alien creature on a mission, matching the core premise and genre of Alien, though it is a different film."
The crew of a spacecraft encounters a deadly extraterrestrial life form,Alien,Life,2,2,"Highly relevant: features a space crew confronting a lethal extraterrestrial life form, aligning with the query's theme and genre, but not the exact movie."
The crew of a spacecraft encounters a deadly extraterrestrial life form,Alien,Galaxy of Terror,3,1,"Partial relevance: involves a space crew and a hostile entity, but the threat is more supernatural/nightmare based rather than a classic alien creature, making it less directly aligned."
Boy travels to the Land of the Dead to find his musician ancestor,Coco,The Land of Our Fathers,1,0,"Irrelevant; unrelated plot about Kazakh soldier and ancestors, no Land of the Dead or musician theme."
Boy travels to the Land of the Dead to find his musician ancestor,Coco,Coco,2,3,Exact match; Coco features a boy entering the Land of the Dead to discover his musician ancestor.
Boy travels to the Land of the Dead to find his musician ancestor,Coco,Moving Target,3,0,"Irrelevant; plot about a teenage musician on the run, no Land of the Dead element."
Teenager becomes a web-slinger and meets other versions of himself,Spider-Man: Into the Spider-Verse,Young Hunter,1,0,"Result is a drama about a gay teenager, unrelated to Spider‑Man or multiverse web‑slinging."
Teenager becomes a web-slinger and meets other versions of himself,Spider-Man: Into the Spider-Verse,The Healer,2,0,"Result is a family drama about a healer, no connection to Spider‑Man or web‑slinging."
Teenager becomes a web-slinger and meets other versions of himself,Spider-Man: Into the Spider-Verse,Teenage Warhead,3,0,"Result is an animated horror about telekinetic powers, not related to Spider‑Man or meeting other versions of himself."
African king defends his high-tech nation from a dangerous usurper,Black Panther,Black Panther,1,3,Exact match: Black Panther is the requested movie about an African king defending his high‑tech nation.
African king defends his high-tech nation from a dangerous usurper,Black Panther,Big Brother: A World Under Surveillance,2,0,"Irrelevant: documentary about surveillance technology, no connection to the African king or Black Panther."
African king defends his high-tech nation from a dangerous usurper,Black Panther,Goliath Against the Giants,3,1,"Partial relevance: mentions a usurper king but lacks African setting and high‑tech elements, not the intended film."
Man travels through the multiverse to find his daughter in different realities,Doctor Strange in the Multiverse of Madness,Redux Redux,1,1,"Features a multiverse plot involving a daughter, but the protagonist is a woman seeking revenge rather than a man searching for his daughter."
Man travels through the multiverse to find his daughter in different realities,Doctor Strange in the Multiverse of Madness,Babylon 5: The Road Home,2,0,"Involves multiverse travel but focuses on a male protagonist seeking his way home, not his daughter; unrelated to the query."
Man travels through the multiverse to find his daughter in different realities,Doctor Strange in the Multiverse of Madness,No Tomorrow,3,1,"Contains multiverse elements with a male lead, but the story does not involve searching for a daughter, only personal survival."
A mute woman falls in love with a high-security lab creature,The Shape of Water,The Shape of Water,1,3,Exact match: The Shape of Water features a mute woman who falls in love with a lab-held amphibious creature.
A mute woman falls in love with a high-security lab creature,The Shape of Water,The Isle,2,1,"Partial relevance: The Isle has a mute female protagonist, but the love interest is a human fugitive, not a lab creature."
A mute woman falls in love with a high-security lab creature,The Shape of Water,Sweet and Lowdown,3,0,"Irrelevant: Sweet and Lowdown involves a mute woman in a jazz setting, unrelated to a lab creature."
Four outsiders in high finance predict the housing bubble collapse,The Big Short,The Flaw,1,1,"The Flaw is a documentary about the credit bubble and includes economists discussing the crash, which is thematically related but not the requested film The Big Short and lacks the specific focus on four outsider investors."
Four outsiders in high finance predict the housing bubble collapse,The Big Short,The Forecaster,2,0,"The Forecaster centers on a different individual (Martin Armstrong) and unrelated plot, with no connection to the housing bubble prediction theme."
Four outsiders in high finance predict the housing bubble collapse,The Big Short,End of the Road: How Money Became Worthless,3,0,End of the Road is a general financial‑crisis documentary and does not match the specific movie about four outsiders predicting the housing bubble collapse.
A mathematician with schizophrenia wins the Nobel Prize Russell Crowe,A Beautiful Mind,A Beautiful Mind,1,3,Exact match: A Beautiful Mind features a mathematician with schizophrenia who wins the Nobel Prize and stars Russell Crowe.
A mathematician with schizophrenia wins the Nobel Prize Russell Crowe,A Beautiful Mind,Nobel Son,2,0,"Irrelevant: Nobel Son is a comedy/drama about a kidnapping plot, unrelated to a mathematician, schizophrenia, or Russell Crowe."
A mathematician with schizophrenia wins the Nobel Prize Russell Crowe,A Beautiful Mind,The Prize,3,0,"Irrelevant: The Prize involves Nobel laureates in a thriller setting, with no connection to a mathematician, schizophrenia, or Russell Crowe."
Brilliant but rebellious janitor at MIT solves difficult math problems,Good Will Hunting,Good Will Hunting,1,3,Exact match: Good Will Hunting features a brilliant janitor at MIT solving advanced math problems.
Brilliant but rebellious janitor at MIT solves difficult math problems,Good Will Hunting,In Our Prime,2,1,"Shares the janitor‑mathematician theme but set in a high‑school context, not MIT, and is a different film."
Brilliant but rebellious janitor at MIT solves difficult math problems,Good Will Hunting,A Beautiful Mind,3,0,"A Beautiful Mind is about a mathematician, not a janitor at MIT; no relevance to the query."
A former hitman tries to settle down but is pulled back for one last job,The Irishman,7 Hours of Violence,1,2,"Matches the core premise of a former hitman being forced back for one last job, but is a different film from the expected The Irishman."
A former hitman tries to settle down but is pulled back for one last job,The Irishman,The Last Run,2,1,"Involves a retired criminal pulled into a final job, but the protagonist is a getaway driver, not a hitman, making it only partially relevant."
A former hitman tries to settle down but is pulled back for one last job,The Irishman,More Dead than Alive,3,0,Features a former murderer turned rancher with no clear connection to a hitman or a last‑job scenario; largely irrelevant.
Disturbing story about a nurse who becomes obsessed with her patient,Saint Maud,Stonehearst Asylum,1,1,"Features a medical professional obsessed with a patient, but it's a doctor not a nurse and unrelated to Saint Maud."
Disturbing story about a nurse who becomes obsessed with her patient,Saint Maud,The Devil's Tail,2,1,"Centers on a nurse in a horror setting, but lacks clear obsession with a patient and does not match Saint Maud."
Disturbing story about a nurse who becomes obsessed with her patient,Saint Maud,The Yellow Wallpaper,3,0,No nurse or patient obsession theme; unrelated to the query or Saint Maud.
Young woman discovers her family's dark secret at a midsummer festival in Sweden,Midsommar,A Midsummer of Love,1,0,Comedy romance unrelated to the horror/festival theme of Midsommar; no matching plot or genre.
Young woman discovers her family's dark secret at a midsummer festival in Sweden,Midsommar,Midsommar,2,3,"Exact match to the expected movie Midsommar; plot, setting, and themes align perfectly."
Young woman discovers her family's dark secret at a midsummer festival in Sweden,Midsommar,Midsummer,3,1,Shares a midsummer setting but is a different drama/horror film with unrelated storyline; only a slight connection.
Couple visits an exclusive restaurant on an island where the chef has a dark plan,The Menu,The Menu,1,3,"Exact match: title, plot, setting all align with query."
Couple visits an exclusive restaurant on an island where the chef has a dark plan,The Menu,Eat the Rich,2,1,Shares restaurant/dark comedy theme but different plot and no island couple.
Couple visits an exclusive restaurant on an island where the chef has a dark plan,The Menu,Frank & Lola,3,1,Only loosely related via chef/restaurant; plot and setting unrelated.
The life of a domestic worker for a middle-class family in Mexico City,Roma,Roma,1,3,"Exact match: the result is the expected movie 'Roma', directly about a domestic worker in a middle‑class family in 1970s Mexico City."
The life of a domestic worker for a middle-class family in Mexico City,Roma,Via Park,2,1,"Related theme of a domestic worker in Mexico City, but a different film with a distinct plot and not the requested movie."
The life of a domestic worker for a middle-class family in Mexico City,Roma,Midnight Family,3,0,"Irrelevant; focuses on ambulance services, no connection to domestic workers or the queried movie."
